
seahora soy un analfabeta, Silent Hill: Shattered Memories, 1:09:
mamon leo mal todo, Silent Hill: Shattered Memories, 1:36:00
pero mi primo ya cobro y mucho antes todas los donaciones de todo alv, Resident Evil 6 #4 Con Amigos Geis, 23:10
pues me suicido, Bloodborne #1 - Hagen Wolfhowl (ft. Erebor), 20:20
y el niño esta bueno?, Sekiro: Shadows Die Twice #3- Hagen Wolfhowl (ft. Borregue), 3;30
valio verga regreso la Neko, Resident Evil 3 Remake #6 con Amigos Geis, 53:40
la neko leido por el borrego, Resident Evil 3 Remake #6 con Amigos Geis, 58:05
las canciones del tony, Resident Evil 3 Remake #6 con Amigos Geis, 1:02:25
suicidarse de a poco, Devil May Cry 3 #3 con los Hagens, 1:27:55
marra salvar amigos de cholos, Bloodborne #3 - Hagen Wolfhowl (ft. Erebor y Marritits), 15:18
le pega a todo como los cholos, Bloodborne #3 - Hagen Wolfhowl (ft. Erebor y Marritits), 18:30
dila a la axolomafia que se parece a la de moderfamily, Sekiro: Shadows Die Twice #5- Hagen Wolfhowl (ft. Tony, Borregue, Negrovsky y Waymas), 1:58:50
el equipo tramposo del borrego, Pinturillo 2 con los Hagens, 1:25:50
weymas le grita a la gente en la calle, The Last of Us #3 con los Hagens, 1:34:16
alv mate al gato, The Witcher 3: Wild Hunt #1 con los Hagens, 40:35
nacio el culon darck, The Witcher 3: Wild Hunt #1 con los Hagens, 1:45:54
Dario habla de Golden Time chulada, Los Caballeros del Zodiaco: Alma de Soldados con los Hagens, 2:42:00
Tony robot, Metal Gear Rising: Revengeance #1 con los Hagens, 1:10:50
El tony todo sad, Metal Gear Rising: Revengeance #1 con los Hagens, 1:19:10
no tony!!!!!, Castle Crashers #3 con los Hagens, 56:14
se cago esta madre, yo quiero lo que dejo, Castle Crashers #3 con los Hagens, 1:39:10
el ruidero del tony, Left 4 Dead 2 #2 con los Hagens, 15:53
poder negro, Left 4 Dead 2 #2 con los Hagens, 54:10
rayos, por que se me esta parando el pito, Dragon Ball Z Kakarot #1 con los Hagens, 10:46
un wey lo apuñalo y lo tiro a la barsura, Dragon Ball Z Kakarot #1 con los Hagens, 1:25:45
la risa del edgar rockero, Dragon Ball Z Kakarot #1 con los Hagens, 1:52:50
tu me dejaste un mago apestoso y gordo, Castle Crashers #4 con los Hagens, 17:00
todos valiedo verga en el juego, Castle Crashers #4 con los Hagens, 44:53
diles que estas gordo, Castle Crashers #4 con los Hagens, 1:06:45
de que porno les gusta, Bloodstained: Ritual of the Night con los Hagens, 1:24:29
alv l bruja, Left 4 Dead 2 #3 con los Hagens, 20:24
despues de que me pegan una vergiza ya no quiero volver, BattleBlock Theater #1 con los Hagens, 1:54:26
se calienta el negrito, Left 4 Dead 2 #4 con los Hagens, 10:13
las relaciones sexuales estan sobrevaloradas, Left 4 Dead 2 #4 con los Hagens, 24:30
consejo del Y+, Left 4 Dead 2 #4 con los Hagens, 41:26
se vino toda la party, Left 4 Dead 2 #4 con los Hagens, 51:40
el cagadero del borre, Left 4 Dead 2 #4 con los Hagens, 1:47:50
el grito extranoborre, Left 4 Dead 2 #4 con los Hagens, 1:51:42
las muestes pendejas de todos xD, Left 4 Dead 2 #5 con los Hagens, 1:48:00
como presume sus dildos el borre, Metal Gear Rising: Revengeance #4 con los Hagens, 11:42
clasica de los cholos, Metal Gear Rising: Revengeance #4 con los Hagens, 50:31
el suicidio del Y+, Left 4 Dead 2 #6 con los Hagens, 54:43
Tony se volvi loco, Left 4 Dead 2 #6 con los Hagens, 1:39:42
liverame y+!!!!!, Mario Party 5 #4 Con Amigos Geis, 12:30
al ses vato volo, Fall Guys con los Hagens #1, 51:47
ya era hora de que ganaran, Mario Party 5 #6 Con Amigos Geis, 2:02:24
vete a ver donde enterraron al tio Ben, Spider-Man #1 con los Hagens, 8:27
los perros calvos de tony, Metal Gear Rising: Revengeance #5 con los Hagens, 1:31:50
a pero si poner que quieres veder rortilleras, Metal Gear Rising: Revengeance #5 con los Hagens, 2:12:25
mi mona estaba encuerada?, Left 4 Dead 2 #10 con los Hagens, 1:16
la pergunta pendeja y el tony badia xD, Spider-Man #2 con los Hagens, 50:15
los comiscs pendejos, Spider-Man #2 con los Hagens, 1:21:34
borrego casi mata al gato, Alan Wake con los Hagens #1, 1:55:22
morir de forma culera(ya tiene mucho que no sale Mr.Ebz), Metal Gear Solid 3 con los Hagens #1, 17:28:30
la historia del autoctono, Cotorreo y Dibujeo con Hagen #4 Halloween Edition, 49:03
boleada de tenis, Cotorreo y Dibujeo con Hagen #4 Halloween Edition, 1:01:33
el rock es cultura, Cotorreo y Animeo con Hagen #7, 1:19:02
verguiza al ruco mamon, Silent Hill 2 con los Hagens #4, 20:45
nuestras conbinaciones pordridas, Attack on Titan / A.O.T. Wings of Freedom #1 - Jueves de Juegos Patrocinados, 58:47
ahi viene el menso(el setram tiene mas cosas chidas que olvide), Silent Hill 2 con los Hagens #5 - FINALE, 3:10:49
todas me gustaron, Code Vein #1 - Jueves de Juegos Patrocinados, 12:00
la soledad de borre en el jale, Code Vein #1 - Jueves de Juegos Patrocinados, 58:00
la muerte zarra del negro, Duck Game #1 con los Hagens, 16:20
que asco por que quise hacer eso, Duck Game #1 con los Hagens, 1:40:00
me hando echando un speedrun, Castlevania: Lords of Shadow con los Hagens #1, 31:50
el negro en el frio, Castlevania: Lords of Shadow con los Hagens #1, 1:04:35
los trabalenguas de tony, Castlevania: Lords of Shadow con los Hagens #1, 1:16:43
como gorge, Castlevania: Lords of Shadow con los Hagens #1, 1:24:01
the demon tell me to, Castlevania: Lords of Shadow con los Hagens #2, 43:29
la banda el recodo, Cotorreo & Animeo con Hagen #11, 20:21
